write_yeardate_time,userid,nickname,action,yeardate,time,tradename,partyname,location,remark
2024-08-23T05:51,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,22:00,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T05:51,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
2024-08-23T05:55,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,22:00,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T05:56,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
2024-08-23T06:01,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,22:00,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T06:02,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
2024-08-23T06:02,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
2024-08-23T06:02,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
2024-08-23T06:16,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:00,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T06:16,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,20:00,123,地點,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T06:16,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,20:00,,,六條岔道,那天，刪除20:00的訂單
2024-08-23T12:22,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,20:50,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:02,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,20:50,,,六條岔道,那天，刪除20:50的訂單
2024-08-23T22:03,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,21:00,,,六條岔道,那天，刪除21:00的訂單
2024-08-23T22:04,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:35,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:04,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:35,,,六條岔道,那天，刪除23:35的訂單
2024-08-23T22:07,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:30,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:15,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:30,,,六條岔道,那天，刪除23:30的訂單
2024-08-23T22:15,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:45,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:15,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:45,,,六條岔道,那天，刪除23:45的訂單
2024-08-23T22:33,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:05,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:48,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:15,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:48,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:05,,,六條岔道,那天，刪除23:05的訂單
2024-08-23T22:48,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:30,常常,因為,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T22:48,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:15,,,六條岔道,那天，刪除23:15的訂單
2024-08-23T22:49,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,23:30,常常,因為,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T23:05,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:30,,,六條岔道,那天，刪除23:30的訂單
2024-08-23T23:05,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:05,安安,安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T23:06,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:10,安安。。。,買麼,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T23:06,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:15,安安。。。,買麼,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T23:17,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:05,,,六條岔道,那天，刪除23:05的訂單
2024-08-23T23:17,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:05,,,六條岔道,那天，刪除23:05的訂單
2024-08-23T23:17,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:10,,,六條岔道,那天，刪除23:10的訂單
2024-08-23T23:17,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:15,,,六條岔道,那天，刪除23:15的訂單
2024-08-23T23:39,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:40,安安,安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T23:39,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:45,安安,安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T23:41,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,23:45,安安,安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T23:42,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:45,,,六條岔道,那天，刪除23:45的訂單
2024-08-23T23:42,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,23:50,安安,安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T23:45,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:40,,,六條岔道,那天，刪除23:40的訂單
2024-08-23T23:46,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,23:50,,,六條岔道,那天，刪除23:50的訂單
